ticket_id,customer_id,created_at,resolved_at,channel,language,product,issue_type,priority,agent_id,wait_time_sec,handle_time_sec,first_call_resolution,csat_score,customer_sentiment,status,knowledge_article_used,llm_confidence,escalated,region
TKT000018,CUST16658,2026-02-07 01:31:00,,WhatsApp,Tamil,Internet,Password Reset,High,AG125,522,660,1,3.1,Positive,Pending,0,0.9,1,South
TKT000019,CUST86350,2026-01-21 08:47:00,2026-01-21 08:54:11,WhatsApp,English,Internet,SIM Activation,High,AG129,157,274,0,3.9,Positive,Pending,0,0.88,0,East
TKT000020,CUST33206,2026-05-23 00:22:00,2026-05-23 00:40:35,Voice,English,DTH,Complaint,Medium,AG109,163,952,0,4.0,Positive,Resolved,1,0.95,1,North
TKT000021,CUST39831,2026-02-06 07:56:00,2026-02-06 08:19:45,Chat,Tamil,DTH,SIM Activation,Low,AG125,363,1062,1,4.6,Neutral,Pending,1,0.88,1,South
TKT000022,CUST88193,2026-01-21 23:56:00,2026-01-22 00:10:01,Email,Tamil,Billing,Network Issue,Critical,AG129,187,654,1,2.6,Negative,Escalated,1,0.67,1,South
TKT000023,CUST97062,2026-04-05 15:33:00,2026-04-05 15:48:00,Email,Hindi,Internet,SIM Activation,High,AG122,377,523,1,2.7,Neutral,Pending,1,0.89,0,North
TKT000024,CUST10053,2026-03-18 12:57:00,2026-03-18 13:14:59,Chat,Tamil,Billing,Refund,Critical,AG115,183,896,1,3.5,Neutral,Escalated,1,0.92,0,South
TKT000025,CUST40784,2026-02-21 15:52:00,2026-02-21 16:17:23,Chat,English,Mobile,Password Reset,Low,AG108,348,1175,0,3.9,Neutral,Resolved,1,0.79,0,West
TKT000026,CUST10726,2026-03-31 23:58:00,2026-04-01 00:17:52,Voice,Tamil,Mobile,Billing Query,Critical,AG102,254,938,0,3.3,Negative,Escalated,0,0.81,1,East
TKT000027,CUST81810,2026-06-22 22:47:00,2026-06-22 23:12:47,Chat,Hindi,Broadband,Device Setup,High,AG125,521,1026,1,4.6,Positive,Pending,1,0.86,1,West
TKT000028,CUST80798,2026-01-15 02:31:00,,Chat,English,Broadband,Billing Query,Medium,AG103,245,705,1,3.3,Neutral,In Progress,1,0.83,1,South
TKT000029,CUST85456,2026-02-07 15:40:00,2026-02-07 16:03:03,Voice,Tamil,DTH,Complaint,Critical,AG118,403,980,0,4.0,Negative,Escalated,1,0.72,1,West
TKT000030,CUST71261,2026-01-06 06:48:00,2026-01-06 07:09:05,Voice,Tamil,Billing,Password Reset,Low,AG121,349,916,1,4.3,Neutral,Escalated,1,0.71,1,West
TKT000031,CUST59692,2026-03-01 14:13:00,2026-03-01 14:30:03,WhatsApp,Tamil,Internet,Device Setup,Low,AG124,470,553,1,3.3,Negative,Resolved,1,0.73,0,South
TKT000032,CUST91439,2026-05-18 07:17:00,2026-05-18 07:24:21,Chat,Tamil,Internet,Plan Upgrade,Critical,AG123,258,183,0,3.9,Neutral,Pending,0,0.86,0,North
TKT000033,CUST85470,2026-06-25 14:55:00,2026-06-25 15:09:32,WhatsApp,Tamil,Mobile,Network Issue,Medium,AG104,115,757,0,4.3,Negative,Pending,0,0.92,0,East
TKT000034,CUST54725,2026-04-07 23:35:00,,WhatsApp,Tamil,Internet,Complaint,High,AG121,384,997,0,2.8,Neutral,Escalated,1,0.71,1,West
TKT000035,CUST21359,2026-03-26 15:03:00,2026-03-26 15:24:31,WhatsApp,English,Broadband,Complaint,High,AG101,279,1012,1,4.6,Neutral,Pending,0,0.82,1,East
TKT000036,CUST35042,2026-03-03 22:57:00,,WhatsApp,Tamil,Billing,Plan Upgrade,Critical,AG121,287,692,0,2.8,Negative,In Progress,1,0.92,0,East
TKT000037,CUST58368,2026-02-10 08:10:00,2026-02-10 08:30:02,Email,Tamil,Billing,Refund,High,AG123,254,948,1,4.2,Neutral,Pending,1,0.74,0,North
TKT000038,CUST73464,2026-02-27 10:39:00,2026-02-27 10:54:17,Email,English,Mobile,SIM Activation,Medium,AG112,553,364,0,1.7,Positive,Pending,0,0.89,0,East
TKT000039,CUST26551,2026-01-09 06:51:00,2026-01-09 07:04:22,WhatsApp,English,Internet,SIM Activation,Critical,AG116,571,231,1,4.2,Neutral,Pending,0,0.98,1,West
TKT000040,CUST92502,2026-01-21 18:27:00,2026-01-21 18:38:08,Chat,English,Billing,SIM Activation,Low,AG108,415,253,1,2.7,Positive,In Progress,0,0.91,1,West
TKT000041,CUST91399,2026-06-15 09:18:00,,Voice,English,Mobile,SIM Activation,Low,AG106,309,1026,1,3.3,Positive,Escalated,0,0.7,1,West
TKT000042,CUST47056,2026-05-06 11:54:00,2026-05-06 12:17:05,WhatsApp,English,Mobile,SIM Activation,Medium,AG114,303,1082,0,1.8,Positive,Escalated,0,0.96,0,South
TKT000043,CUST71433,2026-01-11 20:33:00,2026-01-11 20:45:58,WhatsApp,Tamil,Billing,Device Setup,Critical,AG103,319,459,1,3.6,Negative,Resolved,1,0.9,1,South
TKT000044,CUST98117,2026-01-17 15:00:00,2026-01-17 15:19:42,Voice,English,Broadband,Device Setup,High,AG106,594,588,0,4.5,Negative,In Progress,1,0.98,1,East
TKT000045,CUST53228,2026-03-16 08:06:00,2026-03-16 08:24:55,WhatsApp,Tamil,Broadband,Password Reset,Critical,AG103,333,802,0,4.0,Neutral,Pending,1,0.69,1,South
TKT000046,CUST57419,2026-04-30 17:21:00,2026-04-30 17:45:54,WhatsApp,Hindi,Broadband,Password Reset,Medium,AG109,428,1066,0,1.7,Negative,Escalated,1,0.8,1,South
TKT000047,CUST82384,2026-01-06 06:07:00,2026-01-06 06:19:57,Chat,English,Broadband,Network Issue,Medium,AG116,167,610,1,3.9,Negative,Pending,1,0.79,1,West
TKT000048,CUST88561,2026-02-14 08:52:00,2026-02-14 09:19:04,Chat,English,DTH,Complaint,High,AG130,569,1055,0,2.3,Negative,Pending,0,0.75,1,West
TKT000049,CUST82340,2026-06-07 12:22:00,2026-06-07 12:36:46,WhatsApp,Tamil,DTH,Plan Upgrade,Medium,AG119,462,424,1,3.4,Neutral,Escalated,1,0.66,1,West
TKT000050,CUST87356,2026-03-12 06:48:00,2026-03-12 07:03:43,Voice,Tamil,Internet,Device Setup,Low,AG124,512,431,0,1.4,Positive,In Progress,0,0.68,1,East
TKT000051,CUST79942,2026-04-24 11:03:00,2026-04-24 11:20:01,Email,Hindi,Broadband,Password Reset,Low,AG108,87,934,1,4.6,Negative,Pending,0,0.9,1,South
TKT000052,CUST13794,2026-05-19 10:06:00,,Voice,Tamil,DTH,Refund,Critical,AG105,459,325,0,3.4,Positive,In Progress,0,0.71,0,West
TKT000053,CUST93611,2026-04-23 19:33:00,2026-04-23 19:51:47,Email,Hindi,Internet,Device Setup,High,AG122,514,613,0,1.8,Negative,Escalated,0,0.8,1,East
TKT000054,CUST36111,2026-04-27 07:33:00,2026-04-27 07:53:49,WhatsApp,English,Mobile,Complaint,High,AG119,261,988,1,4.6,Neutral,Pending,0,0.98,1,East
TKT000055,CUST40162,2026-01-02 11:22:00,2026-01-02 11:34:13,Email,English,Mobile,SIM Activation,Medium,AG121,513,220,1,4.4,Positive,Resolved,1,0.92,0,East
TKT000056,CUST64460,2026-05-14 07:43:00,2026-05-14 07:51:06,Chat,Hindi,DTH,SIM Activation,Medium,AG109,97,389,1,3.3,Neutral,Pending,1,0.92,1,South
TKT000057,CUST61717,2026-01-26 14:58:00,,Voice,Tamil,DTH,SIM Activation,Critical,AG127,411,582,1,2.7,Negative,Pending,0,0.88,1,South
TKT000058,CUST70852,2026-04-23 18:50:00,2026-04-23 19:07:02,Email,Hindi,Broadband,Network Issue,Medium,AG102,231,791,0,3.2,Positive,Pending,1,0.69,0,North
TKT000059,CUST30253,2026-03-12 18:01:00,2026-03-12 18:24:53,Voice,Tamil,Billing,Complaint,High,AG102,384,1049,1,4.0,Negative,Pending,0,0.8,0,East
TKT000060,CUST46160,2026-01-19 02:05:00,2026-01-19 02:28:54,Voice,Tamil,Internet,Plan Upgrade,Low,AG102,562,872,1,2.7,Neutral,Escalated,0,0.92,0,South
TKT000061,CUST29340,2026-06-01 01:31:00,2026-06-01 01:43:50,Voice,Tamil,Mobile,Billing Query,High,AG126,226,544,0,2.1,Positive,Resolved,0,0.69,1,North
TKT000062,CUST26614,2026-04-18 04:44:00,2026-04-18 04:57:24,Voice,Hindi,Internet,Device Setup,Critical,AG125,21,783,0,1.9,Neutral,Resolved,1,0.82,0,East
TKT000063,CUST65872,2026-03-25 09:13:00,2026-03-25 09:17:10,WhatsApp,Hindi,Broadband,Network Issue,Low,AG111,67,183,1,4.6,Negative,Escalated,0,0.69,1,West
TKT000064,CUST24996,2026-04-19 18:02:00,2026-04-19 18:21:52,Chat,Tamil,Broadband,Plan Upgrade,Critical,AG111,469,723,1,2.7,Neutral,In Progress,1,0.9,1,West
TKT000065,CUST72163,2026-02-26 21:26:00,,Voice,English,Broadband,Network Issue,High,AG126,388,642,0,3.4,Positive,Resolved,1,0.88,1,East
TKT000066,CUST56090,2026-06-09 00:50:00,2026-06-09 01:07:23,Chat,English,Broadband,Plan Upgrade,Low,AG112,57,986,1,4.0,Negative,Pending,0,0.91,0,West
TKT000067,CUST50499,2026-06-03 20:32:00,2026-06-03 20:39:31,Email,English,Mobile,Billing Query,Critical,AG103,278,173,0,1.6,Positive,Resolved,0,0.9,0,West
TKT000068,CUST52517,2026-03-18 10:16:00,2026-03-18 10:39:23,Voice,English,Mobile,Billing Query,Low,AG122,354,1049,0,2.3,Positive,Pending,1,0.88,1,West
TKT000069,CUST24534,2026-03-17 09:35:00,2026-03-17 09:50:04,WhatsApp,Hindi,DTH,Password Reset,Medium,AG113,225,679,0,2.2,Negative,Resolved,0,0.72,0,North
TKT000070,CUST75193,2026-05-20 02:40:00,2026-05-20 02:55:44,Chat,English,Broadband,Plan Upgrade,High,AG103,301,643,1,2.8,Neutral,Resolved,1,0.66,0,East
TKT000071,CUST64747,2026-04-15 19:31:00,2026-04-15 19:57:31,WhatsApp,English,DTH,Billing Query,Critical,AG127,592,999,1,4.3,Negative,Pending,0,0.8,0,North
TKT000072,CUST50668,2026-03-21 07:29:00,2026-03-21 07:53:41,Chat,Tamil,Mobile,Network Issue,Low,AG117,541,940,0,2.4,Negative,Escalated,1,0.77,0,North
TKT000073,CUST30036,2026-01-19 17:09:00,2026-01-19 17:20:26,Voice,English,Broadband,Device Setup,Critical,AG122,267,419,0,1.6,Negative,Pending,1,0.7,0,West
TKT000074,CUST19724,2026-03-22 12:02:00,2026-03-22 12:19:06,WhatsApp,English,Internet,Refund,High,AG103,286,740,0,2.2,Negative,Resolved,1,0.81,0,West
TKT000075,CUST18109,2026-06-15 11:41:00,2026-06-15 11:54:59,Email,Hindi,Internet,Billing Query,Low,AG108,334,505,1,3.8,Negative,In Progress,1,0.83,0,East
TKT000076,CUST98984,2026-03-09 21:00:00,2026-03-09 21:18:20,Email,English,DTH,Network Issue,Critical,AG110,401,699,1,4.4,Neutral,Escalated,1,0.68,0,East
TKT000077,CUST59372,2026-02-26 11:25:00,2026-02-26 11:42:39,Email,English,Billing,Network Issue,Critical,AG117,137,922,0,2.1,Neutral,Resolved,1,0.76,0,East
TKT000078,CUST30308,2026-06-22 12:25:00,,Voice,Hindi,Billing,Password Reset,High,AG129,201,1115,0,4.5,Negative,Escalated,1,0.7,0,North
TKT000079,CUST41133,2026-05-12 06:53:00,2026-05-12 07:10:45,Email,Hindi,Broadband,Plan Upgrade,Medium,AG110,49,1016,1,3.4,Neutral,Escalated,1,0.88,1,West
TKT000080,CUST36174,2026-05-21 01:43:00,2026-05-21 02:01:13,Chat,Tamil,Internet,Device Setup,High,AG118,396,697,1,4.9,Positive,Resolved,1,0.68,0,East
TKT000081,CUST39102,2026-03-23 19:06:00,2026-03-23 19:28:06,Email,English,Broadband,Password Reset,Critical,AG117,155,1171,1,2.7,Neutral,Escalated,1,0.99,1,North
TKT000082,CUST28035,2026-01-06 03:09:00,,WhatsApp,Hindi,Mobile,Device Setup,Critical,AG120,106,772,1,4.5,Positive,Resolved,0,0.74,0,West
TKT000083,CUST41252,2026-01-21 05:46:00,2026-01-21 06:01:58,WhatsApp,English,Internet,Device Setup,Low,AG121,248,710,1,2.8,Negative,Escalated,0,0.75,0,East
TKT000084,CUST57265,2026-02-13 19:02:00,,Voice,Tamil,Broadband,Password Reset,Critical,AG112,196,973,0,2.8,Neutral,Resolved,1,0.92,1,North
TKT000085,CUST56176,2026-05-14 10:16:00,2026-05-14 10:31:32,Chat,Hindi,Broadband,Device Setup,Medium,AG126,600,332,1,2.8,Positive,Resolved,1,0.66,0,South
TKT000086,CUST77552,2026-05-25 00:24:00,2026-05-25 00:33:35,WhatsApp,Tamil,Internet,Plan Upgrade,High,AG112,47,528,1,4.8,Positive,Pending,1,0.69,1,West
TKT000087,CUST34486,2026-06-11 22:13:00,2026-06-11 22:36:14,WhatsApp,Tamil,Billing,SIM Activation,Low,AG124,455,939,1,3.3,Neutral,Resolved,1,0.85,0,East
TKT000088,CUST50173,2026-02-28 11:23:00,2026-02-28 11:29:56,WhatsApp,English,Broadband,Refund,Critical,AG102,86,330,1,4.2,Negative,Pending,1,0.74,0,South
TKT000089,CUST28714,2026-05-03 04:26:00,2026-05-03 04:48:08,WhatsApp,English,Mobile,Network Issue,Medium,AG125,377,951,0,4.3,Negative,Pending,1,0.78,0,North
TKT000090,CUST20077,2026-05-04 14:52:00,2026-05-04 15:15:45,Email,Tamil,DTH,SIM Activation,Medium,AG104,384,1041,1,3.6,Positive,Escalated,1,0.83,0,East
TKT000091,CUST47431,2026-05-22 01:52:00,2026-05-22 02:10:34,WhatsApp,English,Internet,Billing Query,Low,AG115,461,653,0,4.5,Positive,In Progress,0,0.93,1,East
TKT000092,CUST30644,2026-05-10 04:01:00,2026-05-10 04:14:40,Chat,Tamil,Billing,Plan Upgrade,Low,AG107,568,252,1,4.7,Positive,Escalated,1,0.66,1,West
TKT000093,CUST72739,2026-05-27 07:15:00,2026-05-27 07:22:58,WhatsApp,Hindi,Internet,Billing Query,High,AG121,93,385,0,2.1,Positive,In Progress,1,0.88,1,North
TKT000094,CUST17263,2026-06-09 19:51:00,2026-06-09 20:01:29,Chat,Tamil,Mobile,Billing Query,High,AG130,137,492,1,3.8,Negative,Escalated,1,0.97,1,South
TKT000095,CUST49691,2026-02-15 14:54:00,2026-02-15 15:12:11,Voice,Hindi,Mobile,Billing Query,Medium,AG122,569,522,1,2.8,Negative,Pending,0,0.93,0,South
TKT000096,CUST13969,2026-01-09 06:37:00,2026-01-09 06:51:42,Email,Hindi,DTH,Device Setup,Medium,AG126,220,662,1,4.0,Negative,In Progress,1,0.8,0,North
TKT000097,CUST89516,2026-03-22 00:39:00,2026-03-22 01:03:31,Email,Hindi,DTH,Complaint,Medium,AG125,500,971,1,3.0,Neutral,Resolved,1,0.73,0,East
TKT000098,CUST60351,2026-03-23 20:18:00,2026-03-23 20:30:56,WhatsApp,English,Mobile,Refund,High,AG107,149,627,0,1.2,Positive,In Progress,1,0.82,1,West
TKT000099,CUST38199,2026-01-05 05:15:00,2026-01-05 05:26:51,Voice,English,DTH,Device Setup,Critical,AG110,407,304,1,4.9,Negative,Resolved,0,0.8,1,East
TKT000100,CUST84747,2026-05-20 01:20:00,2026-05-20 01:42:04,Email,Hindi,DTH,Network Issue,Critical,AG117,379,945,0,2.4,Neutral,Pending,0,0.69,0,West
TKT000101,CUST36090,2026-03-09 22:31:00,2026-03-09 22:54:10,WhatsApp,Hindi,Internet,Password Reset,Low,AG105,576,814,1,4.4,Negative,Pending,1,0.83,0,North
TKT000102,CUST49221,2026-03-01 16:54:00,2026-03-01 17:09:43,WhatsApp,Hindi,Billing,SIM Activation,Critical,AG127,171,772,1,5.0,Positive,Pending,1,0.88,1,East
TKT000103,CUST85821,2026-05-26 01:04:00,2026-05-26 01:15:04,Voice,Hindi,Broadband,Billing Query,Critical,AG105,490,174,1,4.9,Negative,Escalated,0,0.84,0,North
TKT000104,CUST36724,2026-01-04 10:44:00,2026-01-04 11:06:29,WhatsApp,Hindi,Internet,Billing Query,Medium,AG118,326,1023,1,2.9,Neutral,In Progress,1,0.76,0,West
TKT000105,CUST99226,2026-06-16 01:07:00,2026-06-16 01:30:05,Email,Hindi,Broadband,Plan Upgrade,Medium,AG109,564,821,1,4.2,Negative,Pending,0,0.97,1,East
TKT000106,CUST83464,2026-05-09 07:45:00,2026-05-09 08:02:29,Email,Tamil,Internet,Complaint,Critical,AG127,505,544,1,3.7,Neutral,Escalated,1,0.66,0,East
TKT000107,CUST80592,2026-06-18 05:03:00,2026-06-18 05:24:32,Email,English,Internet,Plan Upgrade,Medium,AG102,267,1025,1,3.0,Negative,Escalated,0,0.67,1,East
TKT000108,CUST82135,2026-05-11 14:11:00,2026-05-11 14:30:54,Chat,Tamil,Broadband,Device Setup,Medium,AG125,107,1087,0,1.0,Neutral,Pending,1,0.87,0,North
TKT000109,CUST33040,2026-04-08 10:06:00,2026-04-08 10:12:20,Voice,Tamil,Broadband,Billing Query,High,AG129,184,196,1,4.7,Positive,Resolved,1,0.84,0,East
TKT000110,CUST27589,2026-02-21 19:16:00,2026-02-21 19:42:51,WhatsApp,Tamil,Mobile,Network Issue,High,AG106,561,1050,1,4.7,Negative,In Progress,1,0.89,0,East
TKT000111,CUST93719,2026-05-24 22:54:00,2026-05-24 23:15:50,WhatsApp,Hindi,DTH,Network Issue,Critical,AG122,586,724,0,1.6,Positive,Escalated,0,0.81,0,South
TKT000112,CUST53204,2026-02-17 11:23:00,2026-02-17 11:42:11,Voice,Tamil,DTH,Plan Upgrade,Low,AG122,246,905,1,4.4,Positive,In Progress,1,0.7,1,South
TKT000113,CUST27507,2026-04-27 06:34:00,2026-04-27 06:52:25,WhatsApp,Hindi,Billing,Refund,Critical,AG123,381,724,0,1.8,Negative,In Progress,0,0.91,0,West
TKT000114,CUST81781,2026-04-07 03:37:00,2026-04-07 03:52:44,Chat,Hindi,Billing,Billing Query,Medium,AG111,84,860,0,1.2,Negative,In Progress,0,0.88,1,South
TKT000115,CUST77272,2026-06-13 15:18:00,2026-06-13 15:45:06,Voice,Hindi,Broadband,SIM Activation,Low,AG113,461,1165,0,2.6,Neutral,Resolved,0,0.85,0,West
TKT000116,CUST19046,2026-03-04 17:16:00,2026-03-04 17:29:29,WhatsApp,English,DTH,Complaint,Medium,AG125,559,250,0,4.3,Positive,In Progress,1,0.99,1,West
TKT000117,CUST96742,2026-06-08 07:25:00,2026-06-08 07:46:22,Chat,Hindi,DTH,Network Issue,Medium,AG118,389,893,0,3.4,Neutral,Escalated,0,0.93,0,East
TKT000118,CUST42441,2026-03-26 06:53:00,2026-03-26 07:18:37,Chat,Tamil,Mobile,Network Issue,Low,AG126,549,988,1,4.6,Negative,In Progress,0,0.73,0,South
TKT000119,CUST15798,2026-04-19 02:58:00,2026-04-19 03:08:50,Chat,Hindi,Mobile,Password Reset,Medium,AG117,462,188,0,1.9,Neutral,Escalated,1,0.85,1,North
TKT000120,CUST46064,2026-02-24 22:25:00,,Chat,Hindi,Broadband,Device Setup,Low,AG112,538,413,0,2.4,Negative,In Progress,1,0.89,1,North
TKT000121,CUST39536,2026-02-24 14:13:00,2026-02-24 14:31:03,Chat,Tamil,Internet,Complaint,Critical,AG118,193,890,1,3.1,Negative,Escalated,1,0.73,0,East
TKT000122,CUST34966,2026-04-28 17:30:00,,WhatsApp,Hindi,Billing,Password Reset,Low,AG107,465,281,1,2.7,Negative,Escalated,1,0.72,1,East
TKT000123,CUST25376,2026-06-24 05:16:00,2026-06-24 05:22:12,WhatsApp,English,Billing,Plan Upgrade,Critical,AG130,221,151,0,4.4,Positive,Pending,1,0.78,1,East
TKT000124,CUST71537,2026-02-17 14:46:00,2026-02-17 15:09:06,Email,English,DTH,Refund,Critical,AG102,530,856,1,3.7,Negative,Escalated,0,0.66,1,East
TKT000125,CUST42208,2026-01-28 17:53:00,2026-01-28 18:07:23,Email,Tamil,Broadband,Device Setup,Critical,AG106,342,521,0,2.3,Negative,Pending,0,0.7,1,North
TKT000126,CUST19742,2026-06-16 21:59:00,2026-06-16 22:12:01,Voice,English,Broadband,Billing Query,Medium,AG103,541,240,0,3.9,Negative,Escalated,0,0.72,1,East
TKT000127,CUST82305,2026-01-12 00:06:00,2026-01-12 00:32:53,Voice,Hindi,DTH,SIM Activation,Low,AG117,504,1109,0,1.0,Negative,In Progress,0,0.69,0,North
TKT000128,CUST45038,2026-02-13 20:48:00,2026-02-13 21:05:37,Voice,Tamil,Broadband,Device Setup,Medium,AG123,544,513,1,4.5,Positive,Pending,0,0.87,0,South
TKT000129,CUST11238,2026-03-15 18:41:00,2026-03-15 19:02:27,Voice,Tamil,Broadband,Refund,Low,AG129,391,896,1,2.6,Negative,Resolved,0,0.72,1,East
TKT000130,CUST51220,2026-01-09 11:25:00,,Chat,Hindi,Mobile,Complaint,Low,AG110,292,272,0,1.6,Positive,Escalated,1,0.88,1,West
TKT000131,CUST67290,2026-05-18 13:18:00,2026-05-18 13:26:11,Voice,Tamil,Billing,Complaint,High,AG101,85,406,1,2.6,Negative,Pending,1,0.82,1,West
TKT000132,CUST48715,2026-03-20 14:46:00,2026-03-20 15:00:54,Voice,English,DTH,Billing Query,Critical,AG123,394,500,0,3.7,Negative,Escalated,1,0.76,0,South
TKT000133,CUST23399,2026-01-01 22:41:00,2026-01-01 23:01:11,Chat,Tamil,Broadband,Complaint,Low,AG101,460,751,1,4.4,Positive,Pending,0,0.85,1,West
TKT000134,CUST83339,2026-01-03 05:55:00,2026-01-03 06:14:05,Chat,Hindi,Billing,Billing Query,Critical,AG106,428,717,1,4.4,Positive,Pending,1,0.74,0,South
TKT000135,CUST20082,2026-01-31 10:32:00,2026-01-31 10:53:37,Chat,Hindi,Broadband,Plan Upgrade,Critical,AG104,287,1010,1,3.2,Positive,Pending,0,0.97,1,West
TKT000136,CUST95332,2026-05-27 09:03:00,2026-05-27 09:23:49,Chat,Tamil,DTH,Plan Upgrade,Critical,AG111,455,794,1,3.6,Positive,In Progress,1,0.75,1,North
TKT000137,CUST83905,2026-03-01 07:49:00,2026-03-01 08:08:42,Chat,Hindi,Billing,Password Reset,Critical,AG123,292,890,1,3.4,Positive,In Progress,1,0.93,0,West
TKT000138,CUST96332,2026-05-03 12:17:00,2026-05-03 12:38:29,WhatsApp,Tamil,Internet,Device Setup,Critical,AG119,147,1142,1,3.1,Neutral,In Progress,0,0.92,1,South
TKT000139,CUST15806,2026-01-20 21:50:00,2026-01-20 22:06:36,WhatsApp,Tamil,Broadband,Network Issue,Low,AG104,368,628,0,3.3,Neutral,Escalated,0,0.8,1,West
TKT000140,CUST73277,2026-05-21 14:24:00,2026-05-21 14:45:43,WhatsApp,English,Internet,Billing Query,High,AG110,159,1144,1,5.0,Neutral,In Progress,0,0.83,1,West
TKT000141,CUST15856,2026-01-18 18:31:00,2026-01-18 18:55:45,Voice,English,DTH,Network Issue,Medium,AG130,468,1017,1,2.7,Negative,Escalated,0,0.84,1,West
TKT000142,CUST34430,2026-06-24 11:35:00,2026-06-24 11:56:48,WhatsApp,Tamil,Internet,Plan Upgrade,Critical,AG119,242,1066,1,4.1,Neutral,In Progress,0,0.89,0,East
TKT000143,CUST80371,2026-05-17 22:57:00,2026-05-17 23:11:04,Email,English,Broadband,Network Issue,High,AG122,596,248,0,3.8,Neutral,Pending,1,0.86,0,East
TKT000144,CUST87354,2026-03-06 01:50:00,,Chat,Tamil,Internet,Plan Upgrade,High,AG104,181,1057,1,4.8,Positive,Pending,0,0.82,1,North
TKT000145,CUST80435,2026-04-15 15:21:00,2026-04-15 15:43:23,Chat,Hindi,Mobile,Device Setup,High,AG105,438,905,0,2.7,Positive,Pending,1,0.86,1,South
TKT000146,CUST76248,2026-03-30 05:17:00,2026-03-30 05:27:03,WhatsApp,Hindi,Broadband,Complaint,Critical,AG116,204,399,1,4.9,Positive,Resolved,0,0.92,0,East
TKT000147,CUST69942,2026-01-06 22:50:00,2026-01-06 23:05:17,WhatsApp,Hindi,Billing,Network Issue,Low,AG109,235,682,1,2.9,Negative,Pending,0,0.91,1,North
TKT000148,CUST14224,2026-03-19 09:31:00,2026-03-19 09:40:47,Email,English,Broadband,Network Issue,Medium,AG107,258,329,1,4.7,Negative,Pending,1,0.71,0,North
TKT000149,CUST88231,2026-05-29 02:21:00,2026-05-29 02:31:08,Email,Hindi,DTH,SIM Activation,High,AG128,65,543,1,3.8,Negative,Resolved,0,0.98,1,South
